namaunit
Prodi S1 Administrasi Publik (Kampus Kabupaten Ponorogo)
Tax Center
Pusat Penerimaan Mahasiswa (PPM)
Biro Sumber Daya dan Umum
Pusat Budaya dan Bahasa
Biro Akademik
Wakil Rektor IV
Prodi S3 Ilmu Akuntansi
Fakultas Hukum
Fakultas Ekonomi dan Bisnis
Fakultas Teknologi Informasi
Prodi S1 Manajemen
Universitas Merdeka Malang
Wakil Rektor III
Perpustakaan
Prodi D3 Sistem Informasi
Prodi D3 Perbankan dan Keuangan
Prodi D3 Bahasa Inggris
Prodi S1 Ilmu Komunikasi
Prodi S1 Teknik Elektro
Prodi S3 Ekonomi
Prodi S2 Arsitektur
Wakil Rektor II
Yayasan
Fakultas Ilmu Sosial dan Ilmu Politik
Fakultas Teknik
Prodi S1 Administrasi Publik
Prodi S1 Administrasi Bisnis
Prodi D1 Bahasa Inggris
Prodi S1 Teknik Sipil
Prodi S1 Teknik Mesin
Prodi S1 Arsitektur
Prodi S1 Sistem Informasi
Prodi D3 Sistem Informasi
Prodi S2 Manajemen
Wakil Rektor I
Rektorat
Prodi D3 Perjalanan Wisata
Prodi D4 Perhotelan
Prodi S1 Teknik Industri
Program Diploma Kepariwisataan
Fakultas Psikologi
Prodi S2 Akuntansi
Program Pascasarjana
Yayasan Perguruan Tinggi Merdeka Malang
Lembaga Penjaminan Mutu (LPMU)
Pusat Teknologi Informasi dan Multimedia
Prodi S1 Agroteknologi (Kampus Kabupaten Ponorogo)
Prodi S1 Hukum
Prodi S1 Ekonomi Pembangunan
Lembaga Penelitian dan Pengabdian Masyarakat
Entrepreneur Center
Biro Hubungan Masyarakat
Pusat Karir
LPK dan TUK
Prodi S1 Manajemen (Kampus Kabupaten Ponorogo)
PDKU Ponorogo
Lembaga Pengembangan Pendidikan (LPPD)
Biro Kerjasama
Lembaga Sertifikasi Profesi-1
Pojok Statistik
Prodi S1 Akuntansi
Prodi D3 Akuntansi
Biro Kemahasiswaan dan Alumni
Prodi S1 Ilmu Hukum (Kampus Kabupaten Ponorogo)
Prodi S1 Ilmu Administrasi Publik (Kampus Kabupaten Ponorogo)
Prodi S2 Administrasi Publik
Prodi S3 Ilmu Sosial
Prodi D3 Perhotelan
Prodi D4 Destinasi Wisata
Prodi S1 Psikologi
Prodi S2 Hukum
